"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"260346000000",41,46,2,1,1,0
"260348000000",32,NA,3,1,99,0
"260349000000",56,50,1,1,1,0
"260349000000",49,NA,3,7,99,2
"260349000000",47,37,1,7,7,0
"260349000000",58,NA,3,2,99,0
"260349000000",60,58,1,7,7,3
"260350000000",47,50,1,7,7,0
"260350000000",47,50,1,7,7,0
"260351000000",36,NA,3,2,99,0
"260353000000",53,NA,3,2,99,0
"260354000000",50,NA,3,7,99,0
"260354000000",50,NA,3,7,99,0
"260358000000",64,NA,3,2,99,9
"260360000000",49,NA,3,7,99,3
"260361000000",36,34,1,7,7,2
"260366000000",74,80,1,2,2,9
"260366000000",72,NA,3,2,99,0
"260367000000",57,50,1,2,2,3
"260370000000",54,43,2,1,1,0
"260370000000",29,NA,4,2,99,0
"260371000000",47,NA,3,2,99,0
"260372000000",54,NA,3,2,99,3
"260377000000",31,33,1,1,1,0
"260379000000",NA,NA,NA,99,99,9
"260379000000",43,47,1,1,1,9
"260380000000",44,NA,4,2,99,0
"260380000000",44,NA,4,2,99,0
"260380000000",44,NA,4,2,99,0
"260386000000",51,63,1,7,7,3
"260391000000",48,NA,3,7,99,9
"260391000000",64,NA,3,7,99,3
"260393000000",35,NA,3,2,99,0
"260394000000",45,NA,3,7,99,0
"260394000000",39,NA,3,2,99,0
"260394000000",65,NA,3,2,99,0
"260394000000",39,NA,3,2,99,0
"260395000000",54,55,1,2,2,9
"260397000000",42,NA,3,1,99,0
"260398000000",42,47,1,1,1,0
"260501000000",45,45,1,1,1,0
"260506000000",53,51,1,2,2,0
"260506000000",53,51,1,2,2,9
"260507000000",47,NA,3,2,99,0
"260507000000",51,58,1,7,7,0
"260508000000",50,NA,3,2,99,0
"260509000000",55,NA,3,7,99,0
"260514000000",64,NA,3,2,99,0
"260514000000",64,NA,3,2,99,0
"260514000000",64,NA,3,2,99,0
"260521000000",41,36,1,1,1,0
"260522000000",72,NA,3,7,99,0
"260526000000",43,59,1,1,1,0
